10Cb	10th cerebellar lobule (nodule)	00D83D
ParB	parietal bone	777777
ParP	parietal plate	777777
PDig	posterior belly of the digastric muscle	777777
PFlCv	parafloccular cavity	777777
pica	posteroinferior cerebellar artery	777777
Pig	pigment layer of the eye	777777
Pinna	pinna of the ear	777777
Pir1	piriform cortex, layer 1	777777
Plat	platysma	777777
PLCo1	posterolateral cortical amygdaloid nucleus, layer 1	777777
PLCo2	posterolateral cortical amygdaloid nucleus, layer 2	777777
PLCo3	posterolateral cortical amygdaloid nucleus, layer 3	777777
POHy	preoptic hypothalamus	777777
PPit	posterior lobe of pituitary	777777
PrLSp	pre lateral spinal	777777
PrTh	prethalamus (prosomere 3)	777777
psa	posterior superior alveolar artery	777777
PSCCA	posterior semicircular canal ampulla	777777
PSCC	posterior semicircular canal	777777
PSph	presphenoid bone	777777
PSphW	presphenoid wing	777777
Ptd	parotid gland	777777
ptgcn	nerve of the pterygoid canal	777777
PtgC	pterygoid canal	777777
PtgPal	pterygopalatine ganglion	777777
ptgpal	pterygopalatine nerve	777777
Ptg	pterygoid process of the sphenoid bone	777777
Pt	parietal cortex	777777
PVG	periventricular gray	777777
r1Rt	r1 reticular formation	777777
r2Rt	r2 reticular formation	777777
r3Rt	r3 reticular formation	777777
Rath	Rathke's pouch	777777
rcc	rostrum of the corpus callosum	777777
RCPMj	rectus capitis posterior major muscle	777777
Rc	Reichert's cartilage	777777
REn	retroendopiriform nucleus	777777
rf	rhinal fissure	777777
RGn	retinal ganglion cell layer of the retina	777777
ri	rhinal incisure	777777
rmv	retromandibular vein	777777
S9Gn	superior ganglion of the glossopharyngeal nerve	777777
Sacc	saccule	777777
SalPh	salpingopharyngeus muscle	777777
Scap	scapula	777777
SCGn	superior cervical ganglion	777777
SChL	suprachiasmatic nucleus, lateral part	777777
SCM	superior constrictor muscle of the pharynx	777777
ScTy	scala tympani	777777
ScVe	scala vestibuli	777777
SHThC	superior horn of thyroid cartilage	777777
sig	sigmoid sinus	777777
simf	simplex fissure	777777
sl	sulcus limitans	777777
SMD	submandibular duct	777777
SMGl	submandibular gland	777777
SObCa	superior oblique capitis muscle	777777
SOb	superior oblique muscle	777777
SOl	superior olivary nucleus. lateral part	777777
spa	sphenopalatine artery pterygopal?	777777
sphml	sphenomandibular ligament	777777
SphPal	sphenopalatine ganglion	777777
sphpl	sphenopalatine artery	777777
SplCa	splenius capitis muscle	777777
Sptne	septum neuroepithelium	777777
Spt	septum	777777
SRec	superior rectus muscle	777777
SSp	supraspinal nucleus	777777
sss	superior sagittal sinus	777777
S	subiculum	777777
StapM	stapedius muscle	777777
Stap	stapedius bone	777777
STh	subthalamic nucleus	696969
StM	sternomastoid muscle	777777
stv	superficial temporal vein	777777
StyGl	styloglossus muscle	777777
StyHy	stylohyoid muscle	777777
StyMF	stylomastoidforamen	777777
StyPh	stylopharyngeus muscle	777777
Sty	styloid process	777777
SubC	subcoeruleus nucleus	777777
SubVCx	subventricular layer of developing cortex	777777
SupM	superior meatus	777777
SuspLig	suspensory ligament	777777
Symp	sympathetic trunk	777777
TempM	temporalis muscle	777777
TempP	temporal bone, petrosal part	777777
TempS	temporal bone, squamous part	777777
ThC	thyroid cartilage	777777
Thy	thyroid gland	777777
TMJ	temporomandibular joint	777777
Tongue	tongue	777777
TPal	tensor palati muscle	777777
TrLL	triangular nucleus, lateral lemniscus	777777
trs	transverse sinus	777777
TSne	triangular septal nucleus, neuroepithelial zone	777777
ty9	tympanic branch of the glossopharyngeal nerve	777777
TyBu	tympanic bulla	777777
TyC	tympanic cavity	777777
TyM	tympanic membrane	777777
TzM	trapezius muscle	777777
tzx	decussation of the trapezoid body	777777
Utr	utricle	777777
vc	ventral column of the spinal cord	777777
VeGn	vestibular nerve ganglion	777777
Vent	ventri
